Day of data collection,Patients currently hospitalized in an inpatient bed who have suspected or confirmed COVID-19
"April 26, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",4
"April 27, 2020",6
"April 27, 2020",2
"April 27, 2020",1
"April 27, 2020",1
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",1
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",1
"April 27, 2020",1
"April 27, 2020",1
"April 27, 2020",3
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",0
"April 27, 2020",1
"April 27, 2020",7
"April 27, 2020",6
"April 27, 2020",1
"April 28, 2020",1
"April 28, 2020",1
"April 28, 2020",3
"April 28, 2020",0
"April 28, 2020",2
"April 28, 2020",0
"April 28, 2020",1
"April 28, 2020",0
"April 28, 2020",1
"April 28, 2020",0
"April 28, 2020",4
"April 28, 2020",6
"April 28, 2020",2
"April 28, 2020",0
"April 28, 2020",4
"April 28, 2020",7
"April 28, 2020",2
"April 28, 2020",1
"April 28, 2020",1
"April 28, 2020",0
"April 28, 2020",0
"April 28, 2020",0
"April 28, 2020",1
"April 28, 2020",0
"April 28, 2020",0
"April 28, 2020",1
"April 28, 2020",0
"April 28, 2020",1
"April 28, 2020",
"April 29, 2020",
"April 29, 2020",
"April 29, 2020",
"April 29, 2020",
"April 29, 2020",
"April 29, 2020",
"May 1, 2020",
"May 1, 2020",
"May 1, 2020",
"May 1, 2020",
"May 1, 2020",
"May 2, 2020",
"May 4, 2020",
"May 4, 2020",
"May 4, 2020",
"May 4, 2020",
"May 4, 2020",
"May 4, 2020",
"May 4, 2020",
"May 5, 2020",
"May 5, 2020",
"May 5, 2020",
"May 5, 2020",
"May 5, 2020",
"May 5, 2020",
"May 5, 2020",
"May 5, 2020",
"May 6, 2020",
"May 6, 2020",
"May 6, 2020",
"May 6, 2020",
"May 6, 2020",
"May 6, 2020",
"May 6, 2020",
"May 6, 2020",
"May 6, 2020",
"May 7, 2020",
"May 7, 2020",
"May 7, 2020",
"May 7, 2020",
"May 7, 2020",
"May 7, 2020",
"May 7, 2020",
"May 7, 2020",
"May 7, 2020",
"May 8, 2020",
"May 8, 2020",
"May 8, 2020",
"May 8, 2020",
"May 8, 2020",
"May 8, 2020",
"May 8, 2020",
"May 8, 2020",
"May 8, 2020",
"May 9, 2020",
"May 9, 2020",
"May 10, 2020",
"May 11, 2020",
"May 11, 2020",
"May 11, 2020",
"May 11, 2020",
"May 11, 2020",
"May 11, 2020",
"May 11, 2020",
"May 11, 2020",
"May 12, 2020",
"May 12, 2020",
"May 12, 2020",
"May 12, 2020",
"May 12, 2020",
"May 12, 2020",
"May 12, 2020",
"May 12, 2020",
"May 12, 2020",
"May 13, 2020",
"May 13, 2020",
"May 13, 2020",
"May 13, 2020",
"May 13, 2020",
"May 13, 2020",
"May 13, 2020",
"May 14, 2020",
"May 14, 2020",
"May 14, 2020",
"May 14, 2020",
"May 14, 2020",
"May 14, 2020",
"May 15, 2020",
"May 15, 2020",
"May 15, 2020",
"May 15, 2020",
"May 16, 2020",
"May 17, 2020",
"May 18, 2020",
"May 18, 2020",
"May 18, 2020",
"May 18, 2020",
"May 19, 2020",
"May 19, 2020",
"May 19, 2020",
"May 19, 2020",
"May 19, 2020",
"May 19, 2020",
"May 20, 2020",
"May 20, 2020",
"May 20, 2020",
"May 20, 2020",
"May 20, 2020",
"May 20, 2020",
"May 21, 2020",
"May 21, 2020",
"May 21, 2020",
"May 21, 2020",
"May 21, 2020",
"May 21, 2020",
"May 22, 2020",
"May 22, 2020",
"May 22, 2020",
"May 22, 2020",
"May 26, 2020",
"May 29, 2020",
"June 2, 2020",
"June 3, 2020",
"June 5, 2020",
"June 6, 2020",
"June 17, 2020",
"June 19, 2020",
"June 21, 2020",
"June 22, 2020",
"June 23, 2020",
"July 1, 2020",
"July 3, 2020",
"July 8, 2020",
"July 10, 2020",
"April 28, 2020",0
"April 28, 2020",0
"April 28, 2020",0
"April 28, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 29, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"April 30, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 1, 2020",0
"May 2, 2020",0
"May 2, 2020",0
