,Backfill Analysis,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,,,,,,,,,,,
,Date,"Positive Cases (People, confirmed + probable)",Proposed,Spot check value,Positive Cases (PCR),Proposed,Spot check value,Probable Cases,Proposed,Spot check value,Total Test Encounters (PCR),Proposed,Spot check value,Total PCR Tests (People),Proposed,diff (should = nonresidents),Spot check value,,Sensitivity,0.01,,,,,
,2020-10-07,722707,713902,,702634,694361,,20073,19541,,,"8,411,529",,5466927,5445417,-21510,,,,,,,,,
,2020-10-06,720125,711358,,700584,692335,,19541,19023,,,"8,350,705",,5440799,5419343,-21456,,,,,,,,,
,2020-10-05,717874,709157,,698818,690604,,19056,18553,,,"8,307,712",,5419897,5398488,-21409,,,,,,,,,
,2020-10-04,716459,707751,,697453,689253,,19006,18498,,,"8,272,347",,5404082,5362326,-41756,,,,,,,,,
,2020-10-03,714591,705965,,695855,687700,,18760,18265,,,"8,222,917",,5383648,5362516,-21132,,,,,,,,,
,2020-10-02,711804,703212,,693490,685380,,18314,17832,,,"8,164,667",,5358703,5311806,-46897,,,,,,,,,
,2020-10-01,709144,700602,,691209,683148,,17935,17454,,,"8,094,054",,5333017,5311806,-21211,,,,,,,,,
,2020-09-30,706516,698051,,689130,681129,,17386,16922,,,"8,034,148",,5308344,5287218,-21126,,,,,,,,,
,2020-09-29,704568,696171,,687461,679513,,17107,16658,,,"7,993,421",,5297279,5276220,-21059,,,,,,,,,
,2020-09-28,701302,692962,,684612,676712,,16690,16250,,,"7,929,199",,5268827,5247825,-21002,,,,,,,,,
,2020-09-27,700564,692234,,683927,676033,,16637,16201,,,"7,910,195",,5260602,5239619,-20983,,,,,,,,,
,2020-09-26,698682,690387,,682197,674330,,16485,16057,,,"7,864,927",,5242163,5221217,-20946,,,,,,,,,
,2020-09-25,695887,687656,,679723,671909,,16164,15747,,,"7,798,487",,5213142,5192258,-20884,,,,,,,,,
,2020-09-24,693040,684847,,677235,669456,,15805,15391,,,"7,732,872",,5186646,5165815,-20831,,,,,,,,,
,2020-09-23,690499,682370,,675061,667341,,15438,15029,,,"7,674,776",,5163125,5142356,-20769,,,,,,,,,
,2020-09-22,687909,679776,,672932,665194,,14977,14582,,,"7,625,850",,5139472,5118720,-20752,,,,,,,,,
,2020-09-21,685439,677362,,670869,663172,,14570,14190,,,"7,585,328",,5120391,5099693,-20698,,,Proposal Description,,,,,,
,2020-09-20,683754,675691,,669189,661506,,14565,14185,,,"7,547,048",,5102203,5054955,-47248,,,,Dates,Field,,Source,,
,2020-09-19,681233,673194,,666808,659147,,14425,14047,,,"7,493,574",,5075633,5054955,-20678,,,1,1/29-10/26,Total Test Encounters (PCR) ,,"tab ""FL download 10-26-2020""",,"col O, Cumulative Total"
,2020-09-18,677660,669684,,663581,655976,,14079,13708,,,"7,415,354",,5045344,5024730,-20614,,,2,8/14-10/26,Probable Cases ,,"tab ""PDF 10-26""",,"col G, Cumulative Cases Reported and Confirmed by Antigen (RESIDENTS)"
,2020-09-17,674456,666507,,660665,653089,,13791,13418,,,"7,339,212",,5018057,4997489,-20568,,,3,8/14-10/26,Positive Cases (PCR),,"tab ""PDF 10-26""",,"col F, Cumulative Cases Reported and Confirmed by PCR (RESIDENTS)"
,2020-09-16,671201,663234,,657774,650185,,13049,13049,,,"7,266,009",,4991093,4970495,-20598,,,4,8/14-10/26,Positive,,"tab ""PDF 10-26""",,"col D, Cumulative Cases Reported (RESIDENTS)"
,2020-09-15,668846,660946,,655816,648279,,13030,12667,,,"7,214,436",,4975926,4955265,-20661,,,5,3/3/-8/13,Positive,,"tab ""FL download 10-26-2020""",,"col P, Cumulative Positive"
,2020-09-14,665730,658203,,652968,645799,,12762,12404,,,"7,151,340",,4948075,4927775,-20300,,,6,8/14-10/26,Total PCR Tests (People),,"tab ""PDF 10-26""",,
,2020-09-13,663994,656485,,651335,644180,,12659,12305,,,"7,105,309",,4930974,4910702,-20272,,,,,,,,,
,2020-09-12,661571,654090,,648992,641864,,12579,12226,,,"7,049,267",,4908723,4888491,-20232,,,,,,,,,
,2020-09-11,658381,650922,,646237,639124,,12144,11798,,,"6,977,912",,4883780,4863570,-20210,,,,,,,,,
,2020-09-10,654731,647318,,642982,635910,,11749,11408,,,"6,911,776",,4857274,4837107,-20167,,,,,,,,,
,2020-09-09,652148,644781,,640824,633787,,11324,10994,,,"6,865,939",,4838264,4818178,-20086,,,,,,,,,
,2020-09-08,650092,642775,,639145,632146,,10947,10629,,,"6,827,065",,4823952,4803934,-20018,,,,,,,,,
,2020-09-07,648269,640978,,637436,630479,,10833,10499,,,"6,790,731",,4808756,4788781,-19975,,,,,,,,,
,2020-09-06,646431,639166,,635665,628731,,10766,10435,,,"6,749,937",,4791823,4750980,-40843,,,,,,,,,
,2020-09-05,643867,636653,,633264,626376,,10603,10277,,,"6,699,970",,4770876,4750980,-19896,,,,,,,,,
,2020-09-04,640211,633060,,629993,623160,,10218,9900,,,"6,638,472",,4747072,4727240,-19832,,,,,,,,,
,2020-09-03,637013,629913,,627124,620332,,9889,9581,,,"6,575,983",,4724739,4704959,-19780,,,,,,,,,
,2020-09-02,633442,626426,,623953,617233,,9489,9193,,,"6,518,566",,4700822,4681135,-19687,,,,,,,,,
,2020-09-01,631040,624116,,621883,615240,,9157,8876,,,"6,474,550",,4682883,4663302,-19581,,,,,,,,,
,2020-08-31,623471,616629,,614692,608109,,8779,8520,,,"6,364,260",,4622552,4603050,-19502,,,,,,,,,
,2020-08-30,621586,614753,,612911,606336,,8675,8417,,,"6,330,707",,4606568,4587076,-19492,,,,,,,,,
,2020-08-29,619003,612206,,610432,603892,,8571,8314,,,"6,278,817",,4582134,4562680,-19454,,,,,,,,,
,2020-08-28,615806,609074,,607470,600982,,8336,8092,,,"6,215,891",,4554563,4535184,-19379,,,,,,,,,
,2020-08-27,611991,605342,,603921,597508,,8070,7834,,,"6,150,627",,"4,524,203",4504911,-19292,,,,,,,,,
,2020-08-26,608722,602113,,600979,594604,,7743,7509,,,"6,099,975",,4499640,4480431,-19209,,,,,,,,,
,2020-08-25,605502,599176,,598067,591989,,7435,7187,,,"6,043,455",,4473343,4454485,-18858,,,,,,,,,
,2020-08-24,"602,829",596511,,"595,655",589591,,"7,174",6920,,,"6,007,222",,4453929,4435085,-18844,,,,,,,,,
,2020-08-23,600571,594287,,593666,587629,,6905,6658,,,"5,968,059",,4435417,4416603,-18814,,,,,,,,,
,2020-08-22,597597,591283,,590742,584680,,6855,6603,,,"5,915,679",,4408611,4389768,-18843,,,,,,,,,
,2020-08-21,593286,587023,,586600,580588,,6686,6435,,,"5,830,583",,4373944,4355148,-18796,,,,,,,,,
,2020-08-20,588602,582407,,582264,576315,,6338,6092,,,"5,763,199",,4342418,4323688,-18730,,,,,,,,,
,2020-08-19,584047,577891,,577997,572079,,6050,5812,,,"5,696,967",,4312904,4294217,-18687,,,,,,,,,
,2020-08-18,579932,573811,,574048,568161,,5884,5650,,,"5,639,141",,4285720,4266865,-18855,,,,,,,,,
,2020-08-17,576094,570024,,570367,564528,,5727,5496,,,"5,590,913",,4259573,4240770,-18803,,,,,,,,,
,2020-08-16,573416,567375,,567713,561901,,5703,5474,,,"5,558,341",,4239309,4220532,-18777,,,,,,,,,
,2020-08-15,569637,563628,,563954,558171,,5683,5457,,,"5,509,603",,4209375,4190626,-18749,,,,,,,,,
,2020-08-14,563285,557337,,557726,552000,,5559,5337,,,"5,428,856",,4167081,4148396,-18685,,,,,,,,,
,2020-08-13,557137,549340,,557137,,,,,,,"5,354,124",,4128584,4128584,0,,,,,,,,,
,2020-08-12,550901,543113,,550901,,,,,,,"5,289,628",,4093972,4093972,0,,,,,,,,,
,2020-08-11,542792,535018,,542792,,,,,,,"5,222,659",,4055587,4055587,0,,,,,,,,,
,2020-08-10,536961,529256,,536961,,,,,,,"5,167,187",,4020073,4020073,0,,,,,,,,,
,2020-08-09,532806,525106,,532806,,,,,,,"5,119,253",,3991826,3991826,0,,,,,,,,,
,2020-08-08,526577,518967,,526577,,,,,,,"5,047,703",,3952028,3952028,0,,,,,,,,,
,2020-08-07,518075,510624,,518075,,,,,,,"4,964,316",,3903010,3903010,0,,,,,,,,,
,2020-08-06,510389,503083,,510389,,,,,,,"4,890,559",,3863276,3863276,0,,,,,,,,,
,2020-08-05,502739,495510,,502739,,,,,,,"4,801,814",,3820683,3820683,0,,,,,,,,,
,2020-08-04,497330,490086,,497330,,,,,,,"4,752,867",,3790202,3790202,0,,,,,,,,,
,2020-08-03,491884,484729,,491884,,,,,,,"4,704,476",,3758496,3758496,0,,,,,,,,,
,2020-08-02,487132,479915,,487132,,,,,,,"4,652,563",,3726562,3726562,0,,,,,,,,,
,2020-08-01,480028,472859,,480028,,,,,,,"4,578,231",,3684875,3684875,0,,,,,,,,,
,2020-07-31,470386,463357,,470386,,,,,,,"4,493,776",,3633393,3633393,0,,,,,,,,,
,2020-07-30,461379,454457,,461379,,,,,,,"4,411,574",,3584193,3584193,0,,,,,,,,,
,2020-07-29,451423,444622,,451423,,,,,,,"4,331,458",,3531721,3531721,0,,,,,,,,,
,2020-07-28,441977,435302,,441977,,,,,,,"4,256,937",,3485141,3485141,0,,,,,,,,,
,2020-07-27,432747,426164,,432747,,,,,,,"4,180,523",,3436270,3436270,0,,,,,,,,,
,2020-07-26,423855,417360,,423855,,,,,,,"4,105,191",,3391133,3391133,0,,,,,,,,,
,2020-07-25,414511,408114,,414511,,,,,,,"4,023,711",,3340929,3340929,0,,,,,,,,,
,2020-07-24,402312,396069,,402312,,,,,,,"3,921,208",,3281087,3281087,0,,,,,,,,,
,2020-07-23,389868,383749,,389868,,,,,,,"3,830,539",,3215185,3215185,0,,,,,,,,,
,2020-07-22,379619,373637,,379619,,,,,,,"3,750,496",,3158741,3158741,0,,,,,,,,,
,2020-07-21,369834,363973,,369834,,,,,,,"3,661,911",,3103674,3103674,0,,,,,,,,,
,2020-07-20,360394,354710,,360394,,,,,,,"3,595,456",,3055922,3055922,0,,,,,,,,,
,2020-07-19,350047,344305,,350047,,,,,,,"3,526,542",,3006290,3006290,0,,,,,,,,,
,2020-07-18,337569,331920,,337569,,,,,,,"3,424,946",,2935521,2935521,0,,,,,,,,,
,2020-07-17,"327,241",321747,,"327,241",,,,,,,"3,344,252",,2884245,2884245,0,,,,,,,,,
,2020-07-16,315775,310573,,315775,,,,,,,"3,252,528",,2819000,2819000,0,,,,,,,,,
,2020-07-15,"301,810",296814,,"301,810",,,,,,,"3,149,444",,2739169,2739169,0,,,,,,,,,
,2020-07-14,291629,286822,,291629,,,,,,,"3,078,403",,2688366,2688366,0,,,,,,,,,
,2020-07-13,282435,277639,,282435,,,,,,,"3,018,914",,2642613,2642613,0,,,,,,,,,
,2020-07-12,269811,265432,,269811,,,,,,,"2,917,932",,2576813,2576813,0,,,,,,,,,
,2020-07-11,254511,250283,,254511,,,,,,,"2,788,787",,2477810,2477810,0,,,,,,,,,
,2020-07-10,244151,240009,,244151,,,,,,,"2,711,279",,2423992,2423992,0,,,,,,,,,
,2020-07-09,232718,228759,,232718,,,,,,,"2,626,323",,2359636,2359636,0,,,,,,,,,
,2020-07-08,223783,219869,,223783,,,,,,,"2,579,547",,2322389,2322389,0,,,,,,,,,
,2020-07-07,213794,209922,,213794,,,,,,,"2,512,111",,2271267,2271267,0,,,,,,,,,
,2020-07-06,206447,202623,,206447,,,,,,,"2,468,749",,2235937,2235937,0,,,,,,,,,
,2020-07-05,200111,196386,,200111,,,,,,,"2,428,240",,2202095,2202095,0,,,,,,,,,
,2020-07-04,190052,186530,,190052,,,,,,,"2,364,452",,2148327,2148327,0,,,,,,,,,
,2020-07-03,178594,175200,,178594,,,,,,,"2,286,612",,2083056,2083056,0,,,,,,,,,
,2020-07-02,169106,165876,,169106,,,,,,,"2,225,989",,2033794,2033794,0,,,,,,,,,
,2020-07-01,158997,156434,,158997,,,,,,,"2,163,496",,1981915,1981915,0,,,,,,,,,
,2020-06-30,152434,149889,,152434,,,,,,,"2,121,648",,1946510,1946510,0,,,,,,,,,
,2020-06-29,146341,143862,,146341,,,,,,,"2,082,221",,1914151,1914151,0,,,,,,,,,
,2020-06-28,141075,138499,,141075,,,,,,,"2,044,514",,1883244,1883244,0,,,,,,,,,
,2020-06-27,132545,130145,,132545,,,,,,,"1,979,724",,1830791,1830791,0,,,,,,,,,
,2020-06-26,122960,120611,,122960,,,,,,,"1,908,520",,1770081,1770081,0,,,,,,,,,
,2020-06-25,114018,111797,,114018,,,,,,,"1,843,506",,1721812,1721812,0,,,,,,,,,
,2020-06-24,109014,106806,,109014,,,,,,,"1,790,441",,1669440,1669440,0,,,,,,,,,
,2020-06-23,103503,101335,,103503,,,,,,,"1,757,843",,1641838,1641838,0,,,,,,,,,
,2020-06-22,100217,97537,,100217,,,,,,,"1,724,166",,1618540,1618540,0,,,,,,,,,
,2020-06-21,97291,94786,,97291,,,,,,,"1,690,172",,1600335,1600335,0,,,,,,,,,
,2020-06-20,93797,90169,,93797,,,,,,,"1,653,080",,1562280,1562280,0,,,,,,,,,
,2020-06-19,89748,86167,,89748,,,,,,,"1,622,106",,1533876,1533876,0,,,,,,,,,
,2020-06-18,85926,82854,,85926,,,,,,,"1,590,585",,1512315,1512315,0,,,,,,,,,
,2020-06-17,82719,80160,,82719,,,,,,,"1,561,493",,1486759,1486759,0,,,,,,,,,
,2020-06-16,80109,77733,,80109,,,,,,,"1,538,668",,1461297,1461297,0,,,,,,,,,
,2020-06-15,77326,75042,,77326,,,,,,,"1,504,255",,1431164,1431164,0,,,,,,,,,
,2020-06-14,75568,73282,,75568,,,,,,,"1,473,348",,1409992,1409992,0,,,,,,,,,
,2020-06-13,73552,71149,,73552,,,,,,,"1,427,556",,1371401,1371401,0,,,,,,,,,
,2020-06-12,70971,68673,,70971,,,,,,,"1,392,549",,1336895,1336895,0,,,,,,,,,
,2020-06-11,69069,67039,,69069,,,,,,,"1,362,057",,1307728,1307728,0,,,,,,,,,
,2020-06-10,67371,65370,,67371,,,,,,,"1,334,261",,1280003,1280003,0,,,,,,,,,
,2020-06-09,66000,64128,,66000,,,,,,,"1,312,922",,1259283,1259283,0,,,,,,,,,
,2020-06-08,64904,62970,,64904,,,,,,,"1,283,747",,1235513,1235513,0,,,,,,,,,
,2020-06-07,63938,61941,,63938,,,,,,,"1,258,807",,1217105,1217105,0,,,,,,,,,
,2020-06-06,62758,60549,,62758,,,,,,,"1,208,092",,1175106,1175106,0,,,,,,,,,
,2020-06-05,61488,59305,,61488,,,,,,,"1,172,244",,1135865,1135865,0,,,,,,,,,
,2020-06-04,60183,58286,,60183,,,,,,,"1,143,981",,1107952,1107952,0,,,,,,,,,
,2020-06-03,58764,57021,,58764,,,,,,,"1,109,419",,1081825,1081825,0,,,,,,,,,
,2020-06-02,57447,55812,,57447,,,,,,,"1,083,794",,1050671,1050671,0,,,,,,,,,
,2020-06-01,56830,55210,,56830,,,,,,,"1,073,626",,1041318,1041318,0,,,,,,,,,
,2020-05-31,56163,54510,,56163,,,,,,,"1,049,404",,1022265,1022265,0,,,,,,,,,
,2020-05-30,55424,53640,,55424,,,,,,,"1,022,691",,995886,995886,0,,,,,,,,,
,2020-05-29,54497,52888,,53285,,,,,,,"1,008,376",,984160,984160,0,,,,,,,,,
,2020-05-28,53285,51667,,53285,,,,,,,"971,639",,953321,953321,0,,,,,,,,,
,2020-05-27,52634,51053,,52634,,,,,,,"952,142",,935271,935271,0,,,,,,,,,
,2020-05-26,52255,50578,,52255,,,,,,,"938,170",,924920,924920,0,,,,,,,,,
,2020-05-25,51746,50075,,51746,,,,,,,"920,104",,909928,909928,0,,,,,,,,,
,2020-05-24,50867,49095,,50867,,,,,,,"882,626",,872916,872916,0,,,,,,,,,
,2020-05-23,50127,48550,,50127,,,,,,,"866,920",,858112,858112,0,,,,,,,,,
,2020-05-22,49451,47817,,49451,,,,,,,"841,067",,837172,837172,0,,,,,,,,,
,2020-05-21,48675,47092,,48675,,,,,,,"817,226",,815584,815584,0,,,,,,,,,
,2020-05-20,47471,45902,,47471,,,,,,,"772,023",,772669,772669,0,,,,,,,,,
,2020-05-19,46944,45427,,46442,,,,,,,"700,701",,717162,717162,0,,,,,,,,,
,2020-05-18,46442,44815,,46442,,,,,,,"670,220",,677710,677710,0,,,,,,,,,
,2020-05-17,45588,44161,,45588,,,,,,,"650,908",,653081,653081,0,,,,,,,,,
,2020-05-16,44811,43025,,44811,,,,,,,"629,359",,630795,630795,0,,,,,,,,,
,2020-05-15,43210,42545,,43210,,,,,,,"622,753",,609574,609574,0,,,,,,,,,
,2020-05-14,43210,41759,,43210,,,,,,,"607,219",,595478,595478,0,,,,,,,,,
,2020-05-13,42402,40967,,42402,,,,,,,"591,519",,579604,579604,0,,,,,,,,,
,2020-05-12,41923,40168,,41923,,,,,,,"576,962",,,,0,,,,,,,,,
,2020-05-11,40982,39562,,40982,,,,,,,"555,807",,,,0,,,,,,,,,
,2020-05-10,40596,39179,,40596,,,,,,,"538,027",,,,0,,,,,,,,,
,2020-05-09,40001,38498,,40001,,,,,,,"524,343",,,,0,,,,,,,,,
,2020-05-08,39199,37733,,39199,,,,,,,"507,598",,,,0,,,,,,,,,
,2020-05-07,38828,37389,,38828,,,,,,,"490,296",,,,0,,,,,,,,,
,2020-05-06,38002,36764,,38002,,,,,,,"476,485",,,,0,,,,,,,,,
,2020-05-05,37439,36183,,37439,,,,,,,"461,682",,,,0,,,,,,,,,
,2020-05-04,36897,35609,,36897,,,,,,,"440,615",,,,0,,,,,,,,,
,2020-05-03,36078,34841,,36078,,,,,,,"425,243",,,,0,,,,,,,,,
,2020-05-02,35463,34209,,35463,,,,,,,"412,850",,,,0,,,,,,,,,
,2020-05-01,34728,33506,,34728,,,,,,,"396,464",,,,0,,,,,,,,,
,2020-04-30,33690,32529,,33690,,,,,,,"378,239",,,,0,,,,,,,,,
,2020-04-29,33193,32015,,33193,,,,,,,"368,569",,,,0,,,,,,,,,
,2020-04-28,32846,31672,,32846,,,,,,,"361,556",,,,0,,,,,,,,,
,2020-04-27,32138,30924,,32138,,,,,,,"349,793",,,,0,,,,,,,,,
,2020-04-26,31528,30405,,31528,,,,,,,"340,916",,,,0,,,,,,,,,
,2020-04-25,30839,29610,,30839,,,,,,,"324,016",,,,0,,,,,,,,,
,2020-04-24,30174,28876,,30174,,,,,,,"310,609",,,,0,,,,,,,,,
,2020-04-23,28832,27662,,28832,,,,,,,"291,998",,,,0,,,,,,,,,
,2020-04-22,28309,26965,,28309,,,,,,,"280,934",,,,0,,,,,,,,,
,2020-04-21,27495,26106,,27495,,,,,,,"268,700",,,,0,,,,,,,,,
,2020-04-20,26660,25360,,26660,,,,,,,"258,121",,,,0,,,,,,,,,
,2020-04-19,25996,24647,,25996,,,,,,,"248,903",,,,0,,,,,,,,,
,2020-04-18,25269,23906,,25269,,,,,,,"239,745",,,,0,,,,,,,,,
,2020-04-17,24119,22823,,24119,,,,,,,"226,950",,,,0,,,,,,,,,
,2020-04-16,22897,21624,,22897,,,,,,,"211,489",,,,0,,,,,,,,,
,2020-04-15,22511,20727,,22511,,,,,,,"201,864",,,,0,,,,,,,,,
,2020-04-14,21367,20135,,21367,,,,,,,"195,443",,,,0,,,,,,,,,
,2020-04-13,20601,19213,,20601,,,,,,,"186,752",,,,0,,,,,,,,,
,2020-04-12,19355,18404,,19355,,,,,,,"178,055",,,,0,,,,,,,,,
,2020-04-11,18494,17340,,18494,,,,,,,"166,804",,,,0,,,,,,,,,
,2020-04-10,17531,16252,,17531,,,,,,,"157,362",,,,0,,,,,,,,,
,2020-04-09,16364,15219,,16364,,,,,,,"143,351",,,,0,,,,,,,,,
,2020-04-08,15455,14173,,15455,,,,,,,"136,858",,,,0,,,,,,,,,
,2020-04-07,14747,13167,,14747,,,,,,,"125,348",,,,0,,,,,,,,,
,2020-04-06,13324,12008,,13324,,,,,,,"114,285",,,,0,,,,,,,,,
,2020-04-05,12151,11245,,12151,,,,,,,"107,267",,,,0,,,,,,,,,
,2020-04-04,11111,10097,,11111,,,,,,,"95,124",,,,0,,,,,,,,,
,2020-04-03,9585,8816,,9585,,,,,,,"84,386",,,,0,,,,,,,,,
,2020-04-02,8010,7548,,8010,,,,,,,"71,703",,,,0,,,,,,,,,
,2020-04-01,6955,6516,,6955,,,,,,,"63,259",,,,0,,,,,,,,,
,2020-03-31,6338,5612,,6338,,,,,,,"55,046",,,,0,,,,,,,,,
,2020-03-30,5473,4760,,5473,,,,,,,"48,119",,,,0,,,,,,,,,
,2020-03-29,4246,3884,,4246,,,,,,,"40,982",,,,0,,,,,,,,,
,2020-03-28,3763,3179,,3763,,,,,,,"34,607",,,,0,,,,,,,,,
,2020-03-27,2765,2520,,2765,,,,,,,"28,363",,,,0,,,,,,,,,
,2020-03-26,2355,1985,,2355,,,,,,,"22,737",,,,0,,,,,,,,,
,2020-03-25,1682,1488,,1682,,,,,,,"15,835",,,,0,,,,,,,,,
,2020-03-24,1412,1205,,1412,,,,,,,"12,954",,,,0,,,,,,,,,
,2020-03-23,1171,1029,,1171,,,,,,,"11,284",,,,0,,,,,,,,,
,2020-03-22,830,731,,830,,,,,,,"8,487",,,,0,,,,,,,,,
,2020-03-21,658,528,,658,,,,,,,"6,192",,,,0,,,,,,,,,
,2020-03-20,520,386,,520,,,,,,,"4,773",,,,0,,,,,,,,,
,2020-03-19,390,310,,390,,,,,,,"3,671",,,,0,,,,,,,,,
,2020-03-18,314,211,,314,,,,,,,"2,616",,,,0,,,,,,,,,
,2020-03-17,186,149,,186,,,,,,,"1,912",,,,0,,,,,,,,,
,2020-03-16,141,122,,141,,,,,,,"1,321",,,,0,,,,,,,,,
,2020-03-15,116,91,,116,,,,,,,"1,140",,,,0,,,,,,,,,
,2020-03-14,77,51,,77,,,,,,,704,,,,0,,,,,,,,,
,2020-03-13,50,31,,50,,,,,,,505,,,,0,,,,,,,,,
,2020-03-12,32,26,,32,,,,,,,387,,,,0,,,,,,,,,
,2020-03-11,28,20,,28,,,,,,,334,,,,0,,,,,,,,,
,2020-03-10,19,18,,19,,,,,,,263,,,,0,,,,,,,,,
,2020-03-09,18,13,,18,,,,,,,179,,,,0,,,,,,,,,
,2020-03-08,17,12,,17,,,,,,,143,,,,0,,,,,,,,,
,2020-03-07,14,8,,14,,,,,,,116,,,,0,,,,,,,,,
,2020-03-06,9,8,,9,,,,,,,68,,,,0,,,,,,,,,
,2020-03-05,9,7,,9,,,,,,,41,,,,0,,,,,,,,,
,2020-03-04,2,3,,2,,,,,,,22,,,,0,,,,,,,,,
,2020-03-03,,2,,,,,,,,,19,,,,0,,,,,,,,,
,2020-03-02,,0,,,,,,,,,15,,,,0,,,,,,,,,
,2020-03-01,,0,,,,,,,,,15,,,,0,,,,,,,,,
,2020-02-29,,0,,,,,,,,,15,,,,0,,,,,,,,,
,2020-02-28,,0,,,,,,,,,15,,,,0,,,,,,,,,
,2020-02-27,,0,,,,,,,,,15,,,,0,,,,,,,,,
,2020-02-26,,0,,,,,,,,,15,,,,0,,,,,,,,,
,2020-02-25,,0,,,,,,,,,15,,,,0,,,,,,,,,
,2020-02-24,,0,,,,,,,,,14,,,,0,,,,,,,,,
,2020-02-23,,0,,,,,,,,,14,,,,0,,,,,,,,,
,2020-02-22,,0,,,,,,,,,14,,,,0,,,,,,,,,
,2020-02-21,,0,,,,,,,,,13,,,,0,,,,,,,,,
,2020-02-20,,0,,,,,,,,,13,,,,0,,,,,,,,,
,2020-02-19,,0,,,,,,,,,13,,,,0,,,,,,,,,
,2020-02-18,,0,,,,,,,,,13,,,,0,,,,,,,,,
,2020-02-17,,0,,,,,,,,,13,,,,0,,,,,,,,,
,2020-02-16,,0,,,,,,,,,12,,,,0,,,,,,,,,
,2020-02-15,,0,,,,,,,,,12,,,,0,,,,,,,,,
,2020-02-14,,0,,,,,,,,,9,,,,0,,,,,,,,,
,2020-02-13,,0,,,,,,,,,9,,,,0,,,,,,,,,
,2020-02-12,,0,,,,,,,,,8,,,,0,,,,,,,,,
,2020-02-11,,0,,,,,,,,,8,,,,0,,,,,,,,,
,2020-02-10,,0,,,,,,,,,7,,,,0,,,,,,,,,
,2020-02-09,,0,,,,,,,,,7,,,,0,,,,,,,,,
,2020-02-08,,0,,,,,,,,,7,,,,0,,,,,,,,,
,2020-02-07,,0,,,,,,,,,6,,,,0,,,,,,,,,
,2020-02-06,,0,,,,,,,,,6,,,,0,,,,,,,,,
,2020-02-05,,0,,,,,,,,,6,,,,0,,,,,,,,,
