Date,AllTestsAsOfThisDate,TotalNotDetectedAsOfThisDate,TotalPositiveAsOfThisDate
2020-05-19,80744,68180,12264
2020-05-18,76698,64529,11881
2020-05-17,75273,63245,11741
2020-05-16,69863,58346,11239
2020-05-15,65690,54565,10849
2020-05-14,60769,50178,10319
2020-05-13,57988,47798,9925
2020-05-12,54441,44530,9647
2020-05-11,52594,42946,9385
2020-05-10,51912,42348,9303
2020-05-09,49756,40586,8914
2020-05-08,45277,36930,8092
2020-05-07,42223,34617,7354
2020-05-06,40236,33047,6943
2020-05-05,38499,31719,6535
2020-05-04,36346,30055,6055
2020-05-03,34695,28774,5689
2020-05-02,32923,27364,5332
2020-05-01,30799,25834,4770
2020-04-30,28127,23776,4171
2020-04-29,26169,22301,3704
2020-04-28,26151,22295,3692
2020-04-27,24902,21377,3364
2020-04-26,23621,20415,3047
2020-04-25,22148,19283,2710
2020-04-24,20516,18011,2357
2020-04-23,18959,16863,1953
2020-04-22,18446,16415,1892
2020-04-21,17999,16092,1777
2020-04-20,17191,15483,1583
2020-04-19,16066,14558,1385
2020-04-18,15002,13651,1231
2020-04-17,14477,13197,1160
2020-04-16,13687,12519,1055
2020-04-15,12956,11877,972
2020-04-14,12168,11199,866
2020-04-13,11713,10805,814
2020-04-12,10979,10166,721
2020-04-11,10170,9412,668
2020-04-10,9495,8806,605
2020-04-09,8683,8056,549
2020-04-08,8016,7439,502
2020-04-07,7455,6933,452
2020-04-06,6372,5917,385
2020-04-05,5949,5535,346
2020-04-04,5290,4922,302
2020-04-03,4899,4560,276
2020-04-02,4137,3862,216
2020-04-01,3419,3187,175
2020-03-31,3002,2803,148
2020-03-30,2611,2434,127
2020-03-29,2258,2103,105
2020-03-28,1920,1802,78
2020-03-27,1731,1631,61
2020-03-26,1532,1440,57
2020-03-25,1409,1328,47
2020-03-24,1213,1143,37
2020-03-23,1035,975,31
2020-03-22,933,879,27
2020-03-21,769,728,21
2020-03-20,684,648,16
2020-03-19,567,538,9
2020-03-18,473,446,7
2020-03-17,376,351,6
2020-03-16,300,276,5
2020-03-15,246,222,5
2020-03-14,217,195,3
2020-03-13,204,185,0
2020-03-12,171,152,0
2020-03-11,150,134,0
2020-03-10,116,102,0
2020-03-09,101,88,0
2020-03-08,92,81,0
2020-03-07,79,69,0
2020-03-06,72,64,0
2020-03-05,66,58,0
2020-03-04,48,43,0
2020-03-03,48,43,0
2020-03-02,36,33,0
2020-03-01,36,33,0
2020-02-29,25,24,0
2020-02-28,10,9,0
2020-02-27,10,9,0
2020-02-26,10,9,0
2020-02-25,10,9,0
2020-02-24,10,9,0
2020-02-23,10,9,0
2020-02-22,10,9,0
2020-02-21,10,9,0
2020-02-20,9,8,0
2020-02-19,9,8,0
2020-02-18,3,2,0
2020-02-17,3,2,0
2020-02-16,3,2,0
2020-02-15,1,1,0
2020-02-14,,,
